gender,All Veterans,"White, alone","Black or African American, alone","American Indian and Alaska Native, alone"," Asian, alone","Native Hawaiian and Other Pacific Islander, alone","Some other race, alone",Two or more races,Hispanic or Latino (of any race),"White alone, Not Hispanic or Latino"
female,"2,012,760","1,395,496","402,563","20,334","49,386","8,193","43,481","93,307","197,270","1,277,917"
male,"17,385,184","14,140,396","1,987,685","129,825","293,706","34,393","287,645","511,534","1,341,362","13,299,234"
total,"19,397,944","15,535,892","2,390,248","150,159","343,092","42,586","331,126","604,840","1,538,632","14,577,151"
