gender,< 20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Grand Total
female,"1,982","52,510","122,488","176,050","206,062","201,715","189,245","216,411","236,853","219,081","155,285","97,883","51,287","36,608","49,301","2,012,760"
male,"4,939","191,021","525,440","768,082","875,081","867,717","1,015,059","1,374,473","1,589,911","1,637,797","1,593,892","2,538,943","1,814,368","1,135,534","1,452,927","17,385,184"
total,"6,921","243,531","647,928","944,132","1,081,143","1,069,432","1,204,304","1,590,884","1,826,765","1,856,878","1,749,177","2,636,826","1,865,655","1,172,142","1,502,227","19,397,944"
